name	file	line	callers	classification
correlationFourPointModel_nonempty_of_inequality_and_schwingerFourMonotone	Phi4/CorrelationInequalities.lean	232	1	CONTENTFUL
interactionUVModel_nonempty_of_data	Phi4/Interaction/Part1Core.lean	293	1	CONTENTFUL
interactionWeightModel_nonempty_of_standardSeq_succ_tendsto_ae_and_geometric_exp_moment_bound	Phi4/Interaction/Part1Core.lean	1027	1	CONTENTFUL
interactionWeightModel_nonempty_of_standardSeq_succ_tendsto_ae_and_uniform_lintegral_bound	Phi4/Interaction/Part1Core.lean	892	1	CONTENTFUL
latticeSchwingerNMonotoneModel_nonempty_of_data	Phi4/CorrelationInequalities.lean	463	1	CONTENTFUL
latticeSchwingerNMonotoneModel_two_nonempty_of_latticeTwo	Phi4/CorrelationInequalities.lean	520	1	CONTENTFUL
reconstructionLinearGrowthModel_nonempty_of_data	Phi4/Reconstruction/Part1Core.lean	576	1	CONTENTFUL
schwingerLimitModel_nonempty_of_data	Phi4/InfiniteVolumeLimit/Part1.lean	443	1	CONTENTFUL
schwingerLimitModel_nonempty_of_limit_data	Phi4/InfiniteVolumeLimit/Part1.lean	459	1	CONTENTFUL
schwingerNMonotoneModel_two_nonempty_of_lattice	Phi4/CorrelationInequalities.lean	538	1	CONTENTFUL
schwingerUniformBoundModel_nonempty_of_data	Phi4/InfiniteVolumeLimit/Part1.lean	434	1	CONTENTFUL
interactionIntegrabilityModel_nonempty_of_uv_weight_nonempty	Phi4/Interaction/Part1Core.lean	438	2	CONTENTFUL
interactionUVModel_nonempty_of_sq_integrable_data	Phi4/Interaction/Part1Core.lean	358	2	CONTENTFUL
interactionWeightModel_nonempty_of_standardSeq_succ_tendsto_ae_and_uniform_integral_bound	Phi4/Interaction/Part1Core.lean	937	2	CONTENTFUL
interactionWeightModel_nonempty_of_higher_moment_polynomial_bound_per_volume_and_uniform_partition_bound	Phi4/Interaction/Part1Tail.lean	684	3	CONTENTFUL
interactionWeightModel_nonempty_of_sq_moment_polynomial_bound_per_volume_and_uniform_partition_bound	Phi4/Interaction/Part1Tail.lean	621	3	CONTENTFUL
interactionWeightModel_nonempty_of_data	Phi4/Interaction/Part1Core.lean	405	4	CONTENTFUL
